"label","value"
2022-02-01,869000
2022-03-01,471000
2022-04-01,305000
2022-05-01,241000
2022-06-01,461000
2022-07-01,696000
2022-08-01,237000
2022-09-01,227000
2022-10-01,400000
2022-11-01,297000
2022-12-01,126000
2023-01-01,444000
2023-02-01,306000
2023-03-01,85000
2023-04-01,216000
2023-05-01,227000
2023-06-01,257000
2023-07-01,148000
2023-08-01,157000
2023-09-01,158000
2023-10-01,186000
2023-11-01,141000
2023-12-01,269000
2024-01-01,119000
2024-02-01,222000
2024-03-01,246000
2024-04-01,118000
2024-05-01,193000
2024-06-01,87000
2024-07-01,88000
2024-08-01,71000
2024-09-01,240000
2024-10-01,44000
2024-11-01,261000
2024-12-01,323000
2025-01-01,111000
2025-02-01,102000
2025-03-01,120000
2025-04-01,158000
2025-05-01,19000
2025-06-01,-13000
2025-07-01,72000
2025-08-01,-26000
2025-09-01,108000
2025-10-01,-105000
2025-11-01,64000
