"label","value"
2022-01-01,7586
2022-02-01,7667
2022-03-01,7695
2022-04-01,7699
2022-05-01,7737
2022-06-01,7760
2022-07-01,7789
2022-08-01,7799
2022-09-01,7827
2022-10-01,7846
2022-11-01,7864
2022-12-01,7892
2023-01-01,7922
2023-02-01,7947
2023-03-01,7931
2023-04-01,7955
2023-05-01,7965
2023-06-01,8006
2023-07-01,8014
2023-08-01,8039
2023-09-01,8049
2023-10-01,8076
2023-11-01,8085
2023-12-01,8099
2024-01-01,8113
2024-02-01,8136
2024-03-01,8170
2024-04-01,8173
2024-05-01,8188
2024-06-01,8203
2024-07-01,8214
2024-08-01,8237
2024-09-01,8267
2024-10-01,8268
2024-11-01,8274
2024-12-01,8289
2025-01-01,8286
2025-02-01,8298
2025-03-01,8303
2025-04-01,8303
2025-05-01,8305
2025-06-01,8308
2025-07-01,8310
