"label","value"
2022-01-01,23870
2022-02-01,23983
2022-03-01,24050
2022-04-01,24108
2022-05-01,24178
2022-06-01,24269
2022-07-01,24407
2022-08-01,24488
2022-09-01,24547
2022-10-01,24642
2022-11-01,24732
2022-12-01,24777
2023-01-01,24882
2023-02-01,24953
2023-03-01,25024
2023-04-01,25105
2023-05-01,25223
2023-06-01,25313
2023-07-01,25448
2023-08-01,25568
2023-09-01,25638
2023-10-01,25732
2023-11-01,25847
2023-12-01,25932
2024-01-01,26031
2024-02-01,26127
2024-03-01,26214
2024-04-01,26308
2024-05-01,26387
2024-06-01,26464
2024-07-01,26525
2024-08-01,26590
2024-09-01,26688
2024-10-01,26775
2024-11-01,26848
2024-12-01,26931
2025-01-01,26993
2025-02-01,27058
2025-03-01,27123
2025-04-01,27208
2025-05-01,27278
2025-06-01,27330
2025-07-01,27409
