"label","value"
2022-01-01,5602
2022-02-01,5643
2022-03-01,5655
2022-04-01,5666
2022-05-01,5669
2022-06-01,5677
2022-07-01,5707
2022-08-01,5708
2022-09-01,5730
2022-10-01,5743
2022-11-01,5759
2022-12-01,5772
2023-01-01,5784
2023-02-01,5783
2023-03-01,5792
2023-04-01,5802
2023-05-01,5816
2023-06-01,5833
2023-07-01,5846
2023-08-01,5865
2023-09-01,5884
2023-10-01,5889
2023-11-01,5903
2023-12-01,5906
2024-01-01,5917
2024-02-01,5928
2024-03-01,5946
2024-04-01,5954
2024-05-01,5963
2024-06-01,5974
2024-07-01,5975
2024-08-01,5975
2024-09-01,5982
2024-10-01,5983
2024-11-01,5995
2024-12-01,6002
2025-01-01,6015
2025-02-01,6015
2025-03-01,6032
2025-04-01,6029
2025-05-01,6039
2025-06-01,6034
2025-07-01,6036
