"label","value"
2022-01-01,22056
2022-02-01,22041
2022-03-01,22042
2022-04-01,22079
2022-05-01,22103
2022-06-01,22124
2022-07-01,22282
2022-08-01,22269
2022-09-01,22280
2022-10-01,22309
2022-11-01,22374
2022-12-01,22373
2023-01-01,22492
2023-02-01,22548
2023-03-01,22585
2023-04-01,22634
2023-05-01,22695
2023-06-01,22782
2023-07-01,22820
2023-08-01,22869
2023-09-01,22938
2023-10-01,23007
2023-11-01,23051
2023-12-01,23107
2024-01-01,23153
2024-02-01,23224
2024-03-01,23301
2024-04-01,23290
2024-05-01,23323
2024-06-01,23344
2024-07-01,23392
2024-08-01,23430
2024-09-01,23462
2024-10-01,23507
2024-11-01,23524
2024-12-01,23560
2025-01-01,23592
2025-02-01,23587
2025-03-01,23593
2025-04-01,23618
2025-05-01,23568
2025-06-01,23579
2025-07-01,23569
