"label","value"
2022-01-01,15328
2022-02-01,15454
2022-03-01,15515
2022-04-01,15611
2022-05-01,15674
2022-06-01,15778
2022-07-01,15925
2022-08-01,15977
2022-09-01,16047
2022-10-01,16144
2022-11-01,16200
2022-12-01,16241
2023-01-01,16354
2023-02-01,16424
2023-03-01,16441
2023-04-01,16478
2023-05-01,16505
2023-06-01,16581
2023-07-01,16610
2023-08-01,16635
2023-09-01,16636
2023-10-01,16685
2023-11-01,16724
2023-12-01,16728
2024-01-01,16720
2024-02-01,16735
2024-03-01,16772
2024-04-01,16768
2024-05-01,16791
2024-06-01,16783
2024-07-01,16792
2024-08-01,16818
2024-09-01,16869
2024-10-01,16878
2024-11-01,16932
2024-12-01,16979
2025-01-01,16965
2025-02-01,16931
2025-03-01,16976
2025-04-01,16994
2025-05-01,17021
2025-06-01,17025
2025-07-01,17030
