"label","value"
2022-01-01,2984
2022-02-01,2994
2022-03-01,3024
2022-04-01,3036
2022-05-01,3059
2022-06-01,3081
2022-07-01,3095
2022-08-01,3092
2022-09-01,3094
2022-10-01,3095
2022-11-01,3105
2022-12-01,3087
2023-01-01,3062
2023-02-01,3052
2023-03-01,3056
2023-04-01,3050
2023-05-01,3035
2023-06-01,3024
2023-07-01,3001
2023-08-01,2975
2023-09-01,2973
2023-10-01,2947
2023-11-01,2952
2023-12-01,2962
2024-01-01,2966
2024-02-01,2963
2024-03-01,2959
2024-04-01,2952
2024-05-01,2953
2024-06-01,2953
2024-07-01,2936
2024-08-01,2929
2024-09-01,2929
2024-10-01,2922
2024-11-01,2927
2024-12-01,2944
2025-01-01,2940
2025-02-01,2940
2025-03-01,2938
2025-04-01,2939
2025-05-01,2941
2025-06-01,2941
2025-07-01,2939
