"label","value"
2022-01-01,577
2022-02-01,581
2022-03-01,590
2022-04-01,598
2022-05-01,600
2022-06-01,609
2022-07-01,614
2022-08-01,612
2022-09-01,614
2022-10-01,617
2022-11-01,624
2022-12-01,626
2023-01-01,634
2023-02-01,634
2023-03-01,635
2023-04-01,638
2023-05-01,642
2023-06-01,641
2023-07-01,642
2023-08-01,640
2023-09-01,640
2023-10-01,638
2023-11-01,636
2023-12-01,637
2024-01-01,632
2024-02-01,633
2024-03-01,637
2024-04-01,630
2024-05-01,624
2024-06-01,623
2024-07-01,623
2024-08-01,622
2024-09-01,624
2024-10-01,623
2024-11-01,625
2024-12-01,624
2025-01-01,621
2025-02-01,625
2025-03-01,624
2025-04-01,626
2025-05-01,622
2025-06-01,621
2025-07-01,617
