"label","value"
2022-01-01,8935
2022-02-01,8985
2022-03-01,9004
2022-04-01,9043
2022-05-01,9051
2022-06-01,9059
2022-07-01,9072
2022-08-01,9088
2022-09-01,9093
2022-10-01,9119
2022-11-01,9132
2022-12-01,9141
2023-01-01,9144
2023-02-01,9156
2023-03-01,9152
2023-04-01,9182
2023-05-01,9179
2023-06-01,9183
2023-07-01,9192
2023-08-01,9190
2023-09-01,9182
2023-10-01,9174
2023-11-01,9171
2023-12-01,9176
2024-01-01,9165
2024-02-01,9155
2024-03-01,9152
2024-04-01,9152
2024-05-01,9159
2024-06-01,9167
2024-07-01,9164
2024-08-01,9170
2024-09-01,9175
2024-10-01,9178
2024-11-01,9194
2024-12-01,9206
2025-01-01,9220
2025-02-01,9235
2025-03-01,9238
2025-04-01,9243
2025-05-01,9250
2025-06-01,9248
2025-07-01,9263
