"label","value"
2022-01-01,15407.9
2022-02-01,15552.2
2022-03-01,15545.5
2022-04-01,15487.1
2022-05-01,15426.2
2022-06-01,15486.3
2022-07-01,15501.2
2022-08-01,15527.6
2022-09-01,15501.5
2022-10-01,15501.7
2022-11-01,15500.8
2022-12-01,15515.6
2023-01-01,15538.9
2023-02-01,15600.6
2023-03-01,15575.3
2023-04-01,15559.5
2023-05-01,15558.8
2023-06-01,15547.6
2023-07-01,15545.1
2023-08-01,15536.7
2023-09-01,15531.8
2023-10-01,15534.1
2023-11-01,15478.1
2023-12-01,15543.7
2024-01-01,15520.8
2024-02-01,15530.2
2024-03-01,15545.3
2024-04-01,15545.7
2024-05-01,15558.5
2024-06-01,15537.4
2024-07-01,15522.8
2024-08-01,15509.5
2024-09-01,15523.2
2024-10-01,15516.6
2024-11-01,15503.1
2024-12-01,15537.5
2025-01-01,15573.2
2025-02-01,15569.4
2025-03-01,15585.8
2025-04-01,15590.5
2025-05-01,15575.7
2025-06-01,15561.4
2025-07-01,15577.1
