"label","value"
2022-01-01,22198
2022-02-01,22363
2022-03-01,22480
2022-04-01,22479
2022-05-01,22496
2022-06-01,22559
2022-07-01,22652
2022-08-01,22689
2022-09-01,22733
2022-10-01,22784
2022-11-01,22797
2022-12-01,22791
2023-01-01,22798
2023-02-01,22838
2023-03-01,22834
2023-04-01,22845
2023-05-01,22846
2023-06-01,22820
2023-07-01,22772
2023-08-01,22756
2023-09-01,22724
2023-10-01,22706
2023-11-01,22659
2023-12-01,22664
2024-01-01,22667
2024-02-01,22661
2024-03-01,22637
2024-04-01,22645
2024-05-01,22656
2024-06-01,22639
2024-07-01,22623
2024-08-01,22591
2024-09-01,22575
2024-10-01,22541
2024-11-01,22578
2024-12-01,22614
2025-01-01,22579
2025-02-01,22594
2025-03-01,22583
2025-04-01,22610
2025-05-01,22587
2025-06-01,22576
2025-07-01,22562
